#SampleID	study-id	author	sample-name	condition1	condition2	condition3	mix1	mix2	type
SRR16701174	SRP344241	LI_2022	VINASSE_biogas_slurry_bacteria_4	VINASSE					PAIRED
SRR16701175	SRP344241	LI_2022	VINASSE_biogas_slurry_bacteria_3	VINASSE					PAIRED
SRR16701176	SRP344241	LI_2022	VINASSE_biogas_slurry_bacteria_2	VINASSE					PAIRED
SRR16701177	SRP344241	LI_2022	VINASSE_biogas_slurry_bacteria_1	VINASSE					PAIRED
SRR16701178	SRP344241	LI_2022	PIG_biogas_slurry_bacteria_6	MANURE	PIG_MANURE				PAIRED
SRR16701179	SRP344241	LI_2022	PIG_biogas_slurry_bacteria_5	MANURE	PIG_MANURE				PAIRED
SRR16701180	SRP344241	LI_2022	PIG_biogas_slurry_bacteria_4	MANURE	PIG_MANURE				PAIRED
SRR16701181	SRP344241	LI_2022	PIG_biogas_slurry_bacteria_3	MANURE	PIG_MANURE				PAIRED
SRR16701182	SRP344241	LI_2022	VINASSE_biogas_slurry_bacteria_6	VINASSE					PAIRED
SRR16701183	SRP344241	LI_2022	VINASSE_biogas_slurry_bacteria_5	VINASSE					PAIRED
SRR16701184	SRP344241	LI_2022	PIG_biogas_slurry_bacteria_2	MANURE	PIG_MANURE				PAIRED
SRR16701185	SRP344241	LI_2022	PIG_biogas_slurry_bacteria_1	MANURE	PIG_MANURE				PAIRED
SRR16481033	SRP342102	PARISA_2022	2h_Biofilm	MANURE	MANURE				PAIRED
SRR16481034	SRP342102	PARISA_2022	2h_Liquid-highCH4	MANURE	MANURE				PAIRED
SRR16481035	SRP342102	PARISA_2022	2h_Liquid-lowCH4	MANURE	MANURE				PAIRED
SRR16481036	SRP342102	PARISA_2022	4h_Biofilm	MANURE	MANURE				PAIRED
SRR16481037	SRP342102	PARISA_2022	4h_Liquid	MANURE	MANURE				PAIRED
SRR16481038	SRP342102	PARISA_2022	Inoculum_3	MANURE	MANURE				PAIRED
SRR16481039	SRP342102	PARISA_2022	Inoculum_2	MANURE	MANURE				PAIRED
SRR16481040	SRP342102	PARISA_2022	Inoculum_1	MANURE	MANURE				PAIRED
SRR12959964	SRP290661_	RETTENMEIER_2019	84-Mod-Isolate-S4MN4-GS2plusPASC	SILAGE	MAIZE_SILAGE				PAIRED
SRR12959965	SRP290661_	RETTENMEIER_2019	81-Mod-Isolate-S4MN4-GS2plusXylan	SILAGE	MAIZE_SILAGE				PAIRED
SRR12959966	SRP290661_	RETTENMEIER_2019	80-Mod-Isolate-S4MN4-GS2plusXylan	SILAGE	MAIZE_SILAGE				PAIRED
SRR12959967	SRP290661_	RETTENMEIER_2019	79-Mod-Isolate-S4MN4-GS2plusCbplusFP	SILAGE	MAIZE_SILAGE				PAIRED
SRR12959968	SRP290661_	RETTENMEIER_2019	78-Mod-Isolate-S4MN4-GS2plusCbplusFP	SILAGE	MAIZE_SILAGE				PAIRED
SRR12959969	SRP290661_	RETTENMEIER_2019	77-Mod-Isolate-S4MN4-GS2plusCb	SILAGE	MAIZE_SILAGE				PAIRED
SRR12959970	SRP290661_	RETTENMEIER_2019	76-Mod-Isolate-S4MN4-GS2plusCb	SILAGE	MAIZE_SILAGE				PAIRED
SRR12959971	SRP290661_	RETTENMEIER_2019	75-Mod-Isolate-S4MN4-GS2plusFP	SILAGE	MAIZE_SILAGE				PAIRED
SRR12959972	SRP290661_	RETTENMEIER_2019	74-Mod-Isolate-S4MN4-GS2plusFP	SILAGE	MAIZE_SILAGE				PAIRED
SRR12959963	SRP290661_	RETTENMEIER_2019	85-Mod-Isolate-S4MN4-GS2plusPASC	SILAGE	MAIZE_SILAGE				PAIRED
ERR3972151	ERP120334	MIRITANA_2020	SAMEA6602902	MANURE	COW_MANURE				PAIRED
ERR3972152	ERP120334	MIRITANA_2020	SAMEA6602903	MANURE	COW_MANURE				PAIRED
ERR3972154	ERP120334	MIRITANA_2020	SAMEA6602905	MANURE	COW_MANURE				PAIRED
ERR3972155	ERP120334	MIRITANA_2020	SAMEA6602906	MANURE	COW_MANURE				PAIRED
ERR3972157	ERP120334	MIRITANA_2020	SAMEA6602908	MANURE	COW_MANURE				PAIRED
ERR3972158	ERP120334	MIRITANA_2020	SAMEA6602909	MANURE	COW_MANURE				PAIRED
ERR3972159	ERP120334	MIRITANA_2020	SAMEA6602910	MANURE	COW_MANURE				PAIRED
ERR3972160	ERP120334	MIRITANA_2020	SAMEA6602911	MANURE	COW_MANURE				PAIRED
ERR3972162	ERP120334	MIRITANA_2020	SAMEA6602913	MANURE	COW_MANURE				PAIRED
ERR3972163	ERP120334	MIRITANA_2020	SAMEA6602914	MANURE	COW_MANURE				PAIRED
ERR3972165	ERP120334	MIRITANA_2020	SAMEA6602916	MANURE	COW_MANURE				PAIRED
ERR3972166	ERP120334	MIRITANA_2020	SAMEA6602917	MANURE	COW_MANURE				PAIRED
ERR3972168	ERP120334	MIRITANA_2020	SAMEA6602919	MANURE	COW_MANURE				PAIRED
ERR3972170	ERP120334	MIRITANA_2020	SAMEA6602921	MANURE	COW_MANURE				PAIRED
ERR3972172	ERP120334	MIRITANA_2020	SAMEA6602923	MANURE	COW_MANURE				PAIRED
ERR3972173	ERP120334	MIRITANA_2020	SAMEA6602924	MANURE	COW_MANURE				PAIRED
ERR3972175	ERP120334	MIRITANA_2020	SAMEA6602926	MANURE	COW_MANURE				PAIRED
ERR3972176	ERP120334	MIRITANA_2020	SAMEA6602927	MANURE	COW_MANURE				PAIRED
ERR3972178	ERP120334	MIRITANA_2020	SAMEA6602929	MANURE	COW_MANURE				PAIRED
ERR3972181	ERP120334	MIRITANA_2020	SAMEA6602932	MANURE	COW_MANURE				PAIRED
ERR3972183	ERP120334	MIRITANA_2020	SAMEA6602934	MANURE	COW_MANURE				PAIRED
ERR3972184	ERP120334	MIRITANA_2020	SAMEA6602935	MANURE	COW_MANURE				PAIRED
ERR3972186	ERP120334	MIRITANA_2020	SAMEA6602937	MANURE	COW_MANURE				PAIRED
ERR3972150	ERP120334	MIRITANA_2020	SAMEA6602901	MANURE	COW_MANURE				PAIRED
ERR3972153	ERP120334	MIRITANA_2020	SAMEA6602904	MANURE	COW_MANURE				PAIRED
