genera	relative abundance
Unassigned	0.506164836
Unknown	0.065987531
DMER64	0.027852574
Proteiniphilum	0.023885593
Methanoculleus	0.019113763
Methanothermobacter	0.014518796
Sedimentibacter	0.013686821
Methanosarcina	0.012944168
Acetomicrobium	0.011343734
CAG-791	0.010083695
Thermoanaerobacterium	0.00664946
Romboutsia_A	0.006642853
Turicibacter	0.005417018
RZYY01	0.005313226
Geofilum	0.0051496
Defluviitoga	0.005058763
Caproicibacter	0.004755076
Cryptobacteroides	0.004196401
Coprothermobacter	0.003994888
Thermovirga	0.003805186
UPXZ01	0.003695258
JAAYJK01	0.003391711
Syntrophaceticus	0.003004088
Thermoclostridium_A	0.002951259
Syntrophosphaera	0.00289896
SFFI01	0.00249608
Methanogranum	0.002362701
DTU029	0.002150866
Paraclostridium	0.002101117
Ruminococcus	0.002089629
Acinetobacter	0.00194891
Aminithiophilus	0.00177566
Aminivibrio	0.001773719
RUG11247	0.001760557
Herbivorax	0.001725127
Pseudomonas_E	0.001580065
Petrimonas	0.00157963
Halothiobacillus	0.001558747
Methanospirillum	0.001458398
Lenti-01	0.001445563
Streptococcus	0.001268839
JAAYGU01	0.001219764
Gleimia	0.001188115
Enterousia	0.001174489
Termiticorpusculum	0.001141091
Caldatribacterium	0.001109818
Methanothrix	0.001107303
Teretinema	0.001097044
Dysgonomonas	0.001096834
Nodularia	0.001092541
VadinCA11	0.001083134
DTU015	0.001022625
T78	0.001019122
Cloacimonas	0.000887549
JAAZNV01	0.000796631
Aequorivita	0.000786785
Faecousia	0.000767084
Bacteroides_E	0.000749044
JAAYYF01	0.000737276
Tissierella_A	0.000723184
MAG-120802	0.000722022
JAAZPG01	0.000716783
DTU098	0.000698546
Methanosphaerula	0.000697826
Atopostipes	0.000683243
Bact-11	0.000682827
Methanofastidiosum	0.000675187
RUG721	0.000672079
Corynebacterium	0.000633699
Syner-03	0.000607873
Prevotella	0.0005753
Methanobacterium	0.000574937
JAAYSA01	0.000573403
Limosilactobacillus	0.000538209
Clostridium_H	0.000507818
Sphaerochaeta	0.00048394
Neofamilia	0.000453377
SOKP01	0.000433213
Terrisporobacter	0.000426835
SIG424	0.000380986
Bact-08	0.000379722
WGAI01	0.0003633
CADCWI01	0.000363071
Ga0077530	0.000339082
JALOAF01	0.000332526
SFMI01	0.000331599
Ruminococcus_E	0.000329332
CANRIN01	0.000321862
Comamonas	0.000321833
Xenobium	0.000313715
JADGQX01	0.000279708
Bact-19	0.000267425
JAAYPC01	0.000264082
Methanolinea_A	0.00026161
Lentimicrobium	0.000259582
JAAYOB01	0.00025893
Undibacterium	0.000256201
Pyramidobacter	0.000248188
Clostridium_E	0.000241627
Bullifex	0.000240621
Bifidobacterium	0.000233898
Paenalcaligenes	0.000232716
Mesotoga	0.000225457
Advenella_A	0.00022442
Clostridium	0.000221773
Brachybacterium	0.000221017
Achromobacter	0.000218634
Methanothermobacter_A	0.000215794
Psychrobacter	0.000209637
YIM-78166	0.000201123
JG1575	0.000196467
JAEKNW01	0.000194902
RUG695	0.000192794
UMGS263	0.000191961
Paludibacter	0.000191719
Caldalkalibacillus	0.000186318
Lacrimispora	0.000184372
CAG-313	0.00018319
JAKQQT01	0.000181063
Halopseudomonas	0.000174943
BM520	0.000173626
Tissierella	0.000172875
Methanobacterium_A	0.00017099
Caldanaerobius	0.000170903
LD21	0.000169934
Firm-16	0.000167331
Mogibacterium	0.000162642
Trichococcus	0.000152653
Thermacetogenium	0.00015265
Desulfosporosinus	0.000149036
SR-FBR-E99	0.000148951
Atribacter	0.000146718
Lithacetigena	0.000145974
