phylum	abundance	
Unassigned	0.400197384	
Bacteroidota	0.127893257	
Bacillota_A	0.114522494	
Halobacteriota	0.036245454	
Bacillota_G	0.027188622	
Synergistota	0.022175641	
Methanobacteriota	0.015572644	
Cloacimonadota	0.01544252	
Bacillota_I	0.013391343	
Bacillota	0.013228984	
Pseudomonadota	0.011732585	
Bacillota_B	0.011074216	
Actinomycetota	0.006628195	
Spirochaetota	0.005506941	
Thermotogota	0.005339759	
Thermoplasmatota	0.00406475	
Coprothermobacterota	0.003994888	
Patescibacteria	0.002906677	
Bacillota_F	0.00273079	
Chloroflexota	0.00236121	
Verrucomicrobiota	0.00208855	
Atribacterota	0.001517158	
Thermoproteota	0.0011593	
Cyanobacteriota	0.001119513	
Bacillota_E	0.001091115	
Acidobacteriota	0.000856661	
Deinococcota	0.000745277	
Methanobacteriota_B	0.000675187	
WOR-3	0.000496577	
Desulfobacterota	0.000459818	
Fibrobacterota	0.000458341	
Asgardarchaeota	0.000433213	
Gemmatimonadota	0.000343935	
Eremiobacterota	0.000314265	
Planctomycetota	0.000277307	
Armatimonadota	0.000241454	
Campylobacterota	0.000191985	
Fusobacteriota	0.000154702	
Lithacetigenota	0.000145974	
Bacillota_D	0.000137923	
Fermentibacterota	0.000132103	
Dictyoglomota	8.3956E-05	
Bacillota_C	5.90313E-05	
Hydrogenedentota	5.50597E-05	
Myxococcota	4.22703E-05	
Elusimicrobiota	2.76103E-05	
Ratteibacteria	2.41006E-05	
Desulfobacterota_G	2.34951E-05	
Nanoarchaeota	1.66368E-05	
KSB1	1.48295E-05	
Eisenbacteria	5.69642E-06	
Dependentiae	8.55943E-07	
RUG730	7.5096E-07	
UBP6	6.22853E-07	
Bdellovibrionota	4.96052E-07	
Omnitrophota	4.41041E-07	
Riflebacteria	3.42249E-07	
DTU030	1.99667E-07	
Hinthialibacterota	1.67829E-07	
Sumerlaeota	1.4685E-07	
UBA10199	1.19659E-07	
Chlamydiota	1.13698E-07	
Bacillota_H	9.12051E-09	
Krumholzibacteriota	2.60586E-09	
