id	condition1	pielou_evenness
#q2:types	categorical	numeric
SRR16701174	VINASSE	0.913126414358149
SRR16701175	VINASSE	0.91121205648482
SRR16701176	VINASSE	
SRR16701177	VINASSE	0.88606263003209
SRR16701178	MANURE	0.908600123646117
SRR16701179	MANURE	0.90402508261196
SRR16701180	MANURE	0.892358022925499
SRR16701181	MANURE	0.894551490406203
SRR16701182	VINASSE	0.891373273121552
SRR16701183	VINASSE	0.884783251806135
SRR16701184	MANURE	0.888734828079879
SRR16701185	MANURE	
SRR16481033	MANURE	
SRR16481034	MANURE	
SRR16481035	MANURE	
SRR16481036	MANURE	
SRR16481037	MANURE	
SRR16481038	MANURE	
SRR16481039	MANURE	
SRR16481040	MANURE	
SRR12959964	SILAGE	
SRR12959965	SILAGE	
SRR12959966	SILAGE	
SRR12959967	SILAGE	
SRR12959968	SILAGE	0.969723899868247
SRR12959969	SILAGE	
SRR12959970	SILAGE	
SRR12959971	SILAGE	
SRR12959972	SILAGE	0.946394630357186
SRR12959963	SILAGE	0.721928094887363
ERR3972151	MANURE	1
ERR3972152	MANURE	
ERR3972154	MANURE	
ERR3972155	MANURE	
ERR3972157	MANURE	
ERR3972158	MANURE	
ERR3972159	MANURE	1
ERR3972160	MANURE	
ERR3972162	MANURE	
ERR3972163	MANURE	
ERR3972165	MANURE	
ERR3972166	MANURE	
ERR3972168	MANURE	
ERR3972170	MANURE	
ERR3972172	MANURE	
ERR3972173	MANURE	
ERR3972175	MANURE	
ERR3972176	MANURE	
ERR3972178	MANURE	0.905712598013837
ERR3972181	MANURE	
ERR3972183	MANURE	
ERR3972184	MANURE	
ERR3972186	MANURE	
ERR3972150	MANURE	
ERR3972153	MANURE	
ERR3972156	MANURE	0.982141032834876
ERR3972161	MANURE	
ERR3972164	MANURE	
ERR3972167	MANURE	
ERR3972169	MANURE	
ERR3972171	MANURE	
ERR3972174	MANURE	
ERR3972177	MANURE	
ERR3972179	MANURE	
ERR3972180	MANURE	
ERR3972182	MANURE	0.863120568566631
ERR3972185	MANURE	
SRR8450533	SYNTHETIC	0.678800482295915
SRR8450534	SYNTHETIC	0.756579814325691
SRR8450535	SYNTHETIC	0.196544592269765
SRR8450536	SYNTHETIC	0.792349508214955
SRR8450537	SYNTHETIC	0.977669924196533
SRR8450544	SYNTHETIC	0.737573457949486
SRR8450545	SYNTHETIC	0.786016775012104
SRR8450546	SYNTHETIC	0.724490840995521
SRR8450547	SYNTHETIC	0.991279300482856
SRR8450548	SYNTHETIC	0.771070060527158
SRR8450549	SYNTHETIC	0.982032766124668
SRR8450550	SYNTHETIC	0.748520066985327
SRR8450551	SYNTHETIC	0.985346736387554
SRR8450552	SYNTHETIC	0.7526059845437
SRR8450553	SYNTHETIC	0.941187966432955
SRR8450554	SYNTHETIC	0.738216445512442
SRR8450555	SYNTHETIC	0.974385618977473
SRR8450556	SYNTHETIC	0.75570106232576
SRR8450557	SYNTHETIC	0.786043341505918
SRR8450558	SYNTHETIC	0.248586019364789
SRR8450559	SYNTHETIC	0.837776570647933
SRR8450560	SYNTHETIC	0.917051028566294
SRR8450561	SYNTHETIC	0.748487032132653
SRR8450562	SYNTHETIC	0.952193667136892
SRR8450563	SYNTHETIC	0.811097849028181
SRR8450564	SYNTHETIC	0.969207387579044
SRR8450565	SYNTHETIC	0.79771915982823
SRR8450566	SYNTHETIC	0.922835351750952
SRR8450567	SYNTHETIC	0.767755910795751
SRR8450568	SYNTHETIC	0.984935756389476
SRR8450569	SYNTHETIC	0.7497714546894
SRR8450570	SYNTHETIC	0.948405871303726
SRR8450571	SYNTHETIC	0.776761357901413
SRR8450579	SYNTHETIC	0.814671204950212
SRR8450580	SYNTHETIC	1
SRR8450581	SYNTHETIC	0.78068606570144
SRR8450582	SYNTHETIC	0.969366150859258
SRR8450583	SYNTHETIC	0.772335164007525
SRR8450584	SYNTHETIC	0.938306391952534
SRR8450585	SYNTHETIC	0.728654307772995
SRR8450586	SYNTHETIC	0.948813114890339
SRR8450587	SYNTHETIC	0.667483442784588
SRR8450588	SYNTHETIC	0.976614668672714
SRR8450589	SYNTHETIC	0.751817444035357
SRR8450590	SYNTHETIC	0.923955636132491
SRR8450591	SYNTHETIC	0.752314956929562
SRR8450592	SYNTHETIC	0.973849524277188
SRR8450529	SYNTHETIC	0.156689874947108
SRR8450530	SYNTHETIC	
SRR8450531	SYNTHETIC	0.959640560922252
SRR8450532	SYNTHETIC	
SRR8450538	SYNTHETIC	0.773075215893432
SRR8450539	SYNTHETIC	
SRR8450540	SYNTHETIC	0.823413796120635
SRR8450541	SYNTHETIC	0.98110021853631
SRR8450542	SYNTHETIC	0.781175294649183
SRR8450543	SYNTHETIC	0.83647998169862
SRR8450572	SYNTHETIC	0.714413260168644
SRR8450573	SYNTHETIC	0.789344957305313
SRR8450574	SYNTHETIC	0.995330871273784
SRR8450575	SYNTHETIC	0.797038156466216
SRR8450576	SYNTHETIC	
SRR8450577	SYNTHETIC	0.791395946153001
SRR8450578	SYNTHETIC	0.139284841852494
SRR2065167	SYNTHETIC	0.774610345117155
SRR2046292	SYNTHETIC	0.882110833633435
SRR2046299	SYNTHETIC	0.490415965785403
SRR2046304	SYNTHETIC	0.816948517525446
SRR2046339	SYNTHETIC	0.793949336210754
SRR2046406	SYNTHETIC	1
SRR6067579	FOODWASTE	0.650514612924267
SRR6067580	FOODWASTE	0.636067681740447
SRR6067581	FOODWASTE	0.670567395622405
SRR6067582	FOODWASTE	0.720991237799444
SRR6067583	FOODWASTE	0.74219446295649
SRR6067584	FOODWASTE	0.647283633916738
SRR6067585	FOODWASTE	0.682990966552655
SRR6067586	FOODWASTE	0.681661453095101
SRR6067587	FOODWASTE	0.652606875538679
SRR6067588	FOODWASTE	0.863543236668728
SRR6067589	FOODWASTE	0.648250774968367
SRR6067590	FOODWASTE	0.841453515065607
SRR6067591	FOODWASTE	0.861750571045032
SRR6067592	FOODWASTE	0.866968819121946
SRR6067593	FOODWASTE	0.848665479809755
SRR6067594	FOODWASTE	0.823903147293053
SRR6067595	FOODWASTE	0.824335880449927
SRR6067596	FOODWASTE	0.719500639262199
SRR6067597	FOODWASTE	0.674024858750144
SRR6067598	FOODWASTE	0.785354251736601
SRR6067599	FOODWASTE	0.697872522498785
SRR6067600	FOODWASTE	0.690157349631973
SRR6067601	FOODWASTE	0.693697210421292
SRR6067602	FOODWASTE	0.63273497793233
SRR6067603	FOODWASTE	0.650217581011071
SRR6067604	FOODWASTE	0.81373641725591
SRR6067605	FOODWASTE	0.770356943356539
SRR6067606	FOODWASTE	0.709152390539234
SRR6067607	FOODWASTE	0.758442733732422
SRR6067608	FOODWASTE	0.703422503890354
SRR6067609	FOODWASTE	0.682416942006343
SRR6067610	FOODWASTE	0.714740711836548
SRR6067611	FOODWASTE	0.733414652991715
SRR6067612	FOODWASTE	0.740236746497395
SRR6067613	FOODWASTE	0.824302881041437
SRR6067614	FOODWASTE	0.869388428590011
SRR6067615	FOODWASTE	0.817679900814577
SRR6067616	FOODWASTE	0.850587401963533
SRR6067617	FOODWASTE	0.82456793588837
SRR6067618	FOODWASTE	0.813743338389891
SRR6067619	FOODWASTE	0.823690402443655
SRR6067620	FOODWASTE	0.608237870985765
SRR6067621	FOODWASTE	0.641679171471348
SRR6067622	FOODWASTE	0.836555653941312
SRR6067623	FOODWASTE	0.752884471627231
SRR6067624	FOODWASTE	0.699256619769508
SRR6067625	FOODWASTE	0.686687465779337
SRR6301242	MIXED	
SRR6301243	MIXED	
SRR6301245	MIXED	0.678007795657998
SRR6301247	MIXED	
SRR6301248	MIXED	
SRR6301249	MIXED	
SRR6301250	MIXED	0.508134757988509
SRR6301251	MIXED	0.872445112752864
SRR6301252	MIXED	
SRR6301253	MIXED	
SRR6301254	MIXED	0.808524671805711
SRR6301256	MIXED	
SRR6301257	MIXED	0.63691780376214
SRR6301258	MIXED	0.885914242168297
SRR6301259	MIXED	0.896240625180289
SRR6301260	MIXED	
SRR6301261	MIXED	0.845984258483227
SRR6301262	MIXED	0.719332904088178
ERR3561496	MIXED	0.904579859647426
ERR3561497	MIXED	0.876538627399828
ERR3561498	MIXED	0.90605004365612
ERR3561499	MIXED	0.888679028873004
ERR3561500	MIXED	0.912639171421596
ERR3561501	MIXED	0.915480704053433
ERR3561502	MIXED	0.921865685262193
ERR3561503	MIXED	0.920708627431981
ERR3561504	MIXED	0.915837917693483
ERR3561505	MIXED	0.927323119560083
ERR3561506	MIXED	0.889467519604289
ERR3561507	MIXED	0.928347712598902
ERR3561508	MIXED	0.915143113543281
ERR3561509	MIXED	0.920663735189246
ERR3561510	MIXED	0.92071863633828
ERR3561511	MIXED	0.875271669474019
ERR3561512	MIXED	0.877862243506605
ERR3561513	MIXED	0.905371146548869
ERR3561514	MIXED	0.927524069231633
ERR3561515	MIXED	0.909313380584421
ERR3561516	MIXED	0.912902128071853
ERR3561517	MIXED	0.915262164362798
ERR3561518	MIXED	0.932787334712643
ERR3561519	MIXED	0.935447026849871
ERR3561520	MIXED	0.897266588449553
ERR3561521	MIXED	0.868541566072504
ERR3561522	MIXED	0.88435892828386
ERR3561523	MIXED	0.948334334627319
ERR3561524	MIXED	0.895403518389408
ERR3561525	MIXED	0.916361705616069
ERR3561526	MIXED	0.913927448689072
ERR3561527	MIXED	0.910803637003689
ERR3561528	MIXED	0.929763442404181
ERR3561529	MIXED	0.840338210930931
ERR3561530	MIXED	0.911858956050829
ERR3561531	MIXED	0.894998857046818
ERR3561532	MIXED	0.904992330357631
ERR3561533	MIXED	0.911140871000336
ERR3561534	MIXED	0.926305586417437
ERR3561535	MIXED	0.942928241620476
ERR3561536	MIXED	0.947200068123
ERR3561537	MIXED	0.945180466825408
ERR3561538	MIXED	0.888283075725476
ERR3561539	MIXED	0.908420766667122
ERR3561540	MIXED	0.875493627845251
SRR9089336	FOODWASTE	0.880154713593017
SRR9089337	FOODWASTE	0.964519771615139
SRR9089338	FOODWASTE	0.91252089632913
SRR9089339	FOODWASTE	0.977484042271844
SRR9089340	FOODWASTE	0.937914289262579
SRR9089341	FOODWASTE	0.984883563658341
SRR9089342	FOODWASTE	0.972440873342276
SRR9089343	FOODWASTE	0.963775736214461
SRR9089344	FOODWASTE	0.949185527327059
SRR9089345	FOODWASTE	0.966812432594654
SRR9089346	FOODWASTE	0.843085186432464
SRR1951459	DOMESTIC-URBAN	0.784208692661555
SRR1951460	DOMESTIC-URBAN	0.782280441286668
SRR1951462	DOMESTIC-URBAN	0.774302825164109
SRR1951463	DOMESTIC-URBAN	0.735387242218172
ERR2588115	SYNTHETIC	0.605101729243494
ERR2588116	SYNTHETIC	0.844541246458715
ERR2588117	SYNTHETIC	0.783532395389157
ERR2588118	SYNTHETIC	0.647435817690111
ERR2588119	SYNTHETIC	0.660149788949446
ERR2588120	SYNTHETIC	0.592038328800996
ERR2588121	SYNTHETIC	0.611263487769622
ERR2588122	SYNTHETIC	0.86496157888382
ERR2588123	SYNTHETIC	0.704446428710561
ERR2588124	SYNTHETIC	0.707925434056235
ERR2588125	SYNTHETIC	0.840068088258344
ERR2588126	SYNTHETIC	0.781674080976779
ERR2588127	SYNTHETIC	0.726504328990352
ERR2588128	SYNTHETIC	0.612454982526149
ERR2588129	SYNTHETIC	0.540076019888138
ERR2588130	SILAGE	0.845113972390351
ERR2588131	SILAGE	0.916432862671608
ERR2588132	SILAGE	0.848409102820201
ERR2588133	SILAGE	
ERR2588134	SILAGE	0.861831892494524
ERR2588135	SILAGE	0.913672649931195
ERR2588136	SILAGE	0.873015698735955
ERR2588137	SILAGE	0.85644381075908
ERR2588138	SILAGE	0.848431935620147
ERR2588139	SILAGE	0.668078167443986
ERR2588140	SILAGE	0.814848902324316
ERR2588141	SILAGE	0.916131448512135
ERR2588142	SILAGE	0.640830129754556
ERR2588143	SILAGE	0.786949512273867
ERR2588144	SILAGE	0.666971320491919
ERR2588145	SILAGE	0.451694055862988
ERR2588146	SILAGE	0.757544952572455
ERR2588147	SILAGE	0.709707615747128
SRR11545268	SILAGE	0.903167222613867
SRR11545269	SILAGE	0.913385133369333
SRR11545270	SILAGE	0.847854518995324
SRR11545271	SILAGE	0.875284932729086
SRR11545272	SILAGE	0.942622029293209
SRR11545273	SILAGE	0.97219353732599
SRR11545274	SILAGE	0.948764453377944
SRR11545275	SILAGE	0.914791817030262
SRR11545276	SILAGE	0.936506172717958
SRR11545277	SILAGE	0.932491963588996
SRR11545278	SILAGE	0.840633159390022
SRR11545279	SILAGE	0.817533986347031
SRR12983455	SILAGE	
SRR12983456	SILAGE	
SRR12983457	SILAGE	
SRR12983458	SILAGE	
SRR12983459	SILAGE	
SRR12983460	SILAGE	
SRR12983461	SILAGE	
SRR12983462	SILAGE	
SRR12983463	SILAGE	
SRR12983464	SILAGE	
SRR12983465	SILAGE	
SRR12983466	SILAGE	0.960964047443682
SRR12983467	SILAGE	1
SRR12983468	SILAGE	
SRR12983469	SILAGE	
SRR12983470	SILAGE	
SRR12983471	SILAGE	
SRR12983472	SILAGE	
SRR12983473	SILAGE	
SRR12983474	SILAGE	
SRR12983475	SILAGE	
SRR12983476	SILAGE	
SRR12983477	SILAGE	
SRR12983478	SILAGE	
SRR12983880	SILAGE	
SRR12983881	SILAGE	
SRR12983882	SILAGE	
SRR12983883	SILAGE	
SRR12983884	SILAGE	
SRR12983885	SILAGE	
SRR12983886	SILAGE	0.91829583405449
SRR12983887	SILAGE	1
SRR12983888	SILAGE	
