id	condition1	shannon_entropy
#q2:types	categorical	numeric
SRR16701174	VINASSE	7.51833561262828
SRR16701175	VINASSE	7.7560116399295
SRR16701176	VINASSE	
SRR16701177	VINASSE	7.11322750097109
SRR16701178	MANURE	7.40486124046654
SRR16701179	MANURE	7.5273011049584
SRR16701180	MANURE	7.42613930168185
SRR16701181	MANURE	7.44035384996672
SRR16701182	VINASSE	6.90053676643083
SRR16701183	VINASSE	7.37501378309958
SRR16701184	MANURE	7.30895671404709
SRR16701185	MANURE	
SRR16481033	MANURE	
SRR16481034	MANURE	
SRR16481035	MANURE	
SRR16481036	MANURE	
SRR16481037	MANURE	-0
SRR16481038	MANURE	
SRR16481039	MANURE	
SRR16481040	MANURE	
SRR12959964	SILAGE	
SRR12959965	SILAGE	
SRR12959966	SILAGE	-0
SRR12959967	SILAGE	
SRR12959968	SILAGE	2.25162916738782
SRR12959969	SILAGE	
SRR12959970	SILAGE	
SRR12959971	SILAGE	
SRR12959972	SILAGE	1.5
SRR12959963	SILAGE	0.721928094887362
ERR3972151	MANURE	1
ERR3972152	MANURE	
ERR3972154	MANURE	
ERR3972155	MANURE	-0
ERR3972157	MANURE	-0
ERR3972158	MANURE	
ERR3972159	MANURE	1
ERR3972160	MANURE	-0
ERR3972162	MANURE	
ERR3972163	MANURE	
ERR3972165	MANURE	-0
ERR3972166	MANURE	
ERR3972168	MANURE	
ERR3972170	MANURE	
ERR3972172	MANURE	-0
ERR3972173	MANURE	
ERR3972175	MANURE	
ERR3972176	MANURE	
ERR3972178	MANURE	1.43552050428267
ERR3972181	MANURE	
ERR3972183	MANURE	-0
ERR3972184	MANURE	-0
ERR3972186	MANURE	
ERR3972150	MANURE	
ERR3972153	MANURE	
ERR3972156	MANURE	1.55665670746282
ERR3972161	MANURE	-0
ERR3972164	MANURE	
ERR3972167	MANURE	
ERR3972169	MANURE	
ERR3972171	MANURE	
ERR3972174	MANURE	
ERR3972177	MANURE	
ERR3972179	MANURE	-0
ERR3972180	MANURE	
ERR3972182	MANURE	0.863120568566631
ERR3972185	MANURE	
SRR8450533	SYNTHETIC	3.74939651976287
SRR8450534	SYNTHETIC	4.41304684389894
SRR8450535	SYNTHETIC	0.589633776809296
SRR8450536	SYNTHETIC	4.58085752582502
SRR8450537	SYNTHETIC	4.84356873123068
SRR8450544	SYNTHETIC	3.46691957679243
SRR8450545	SYNTHETIC	3.33894228460211
SRR8450546	SYNTHETIC	3.90668458454378
SRR8450547	SYNTHETIC	4.91099225301505
SRR8450548	SYNTHETIC	4.62642036316295
SRR8450549	SYNTHETIC	4.50258340716107
SRR8450550	SYNTHETIC	4.55658809370339
SRR8450551	SYNTHETIC	4.92673368193777
SRR8450552	SYNTHETIC	4.44556121229987
SRR8450553	SYNTHETIC	4.3153115322251
SRR8450554	SYNTHETIC	4.30593533332171
SRR8450555	SYNTHETIC	4.87192809488736
SRR8450556	SYNTHETIC	5.05299555163411
SRR8450557	SYNTHETIC	4.8961214571119
SRR8450558	SYNTHETIC	0.787999037793467
SRR8450559	SYNTHETIC	5.26576271606132
SRR8450560	SYNTHETIC	4.66546303136142
SRR8450561	SYNTHETIC	4.50766421078488
SRR8450562	SYNTHETIC	4.18233683402497
SRR8450563	SYNTHETIC	5.12770227947397
SRR8450564	SYNTHETIC	3.69011651759366
SRR8450565	SYNTHETIC	5.1786755977324
SRR8450566	SYNTHETIC	3.7720552088742
SRR8450567	SYNTHETIC	4.1399835742253
SRR8450568	SYNTHETIC	3.75
SRR8450569	SYNTHETIC	4.29463125156302
SRR8450570	SYNTHETIC	4.4042604758725
SRR8450571	SYNTHETIC	4.58824436001996
SRR8450579	SYNTHETIC	5.02646023537744
SRR8450580	SYNTHETIC	3.32192809488736
SRR8450581	SYNTHETIC	5.10503016524083
SRR8450582	SYNTHETIC	5.19342956474493
SRR8450583	SYNTHETIC	4.42387438369712
SRR8450584	SYNTHETIC	4.95932668599855
SRR8450585	SYNTHETIC	4.26844308695204
SRR8450586	SYNTHETIC	2.84643934467102
SRR8450587	SYNTHETIC	3.27526822812409
SRR8450588	SYNTHETIC	3.09579525500093
SRR8450589	SYNTHETIC	4.26462832208239
SRR8450590	SYNTHETIC	4.29071709993111
SRR8450591	SYNTHETIC	4.79603751521802
SRR8450592	SYNTHETIC	4.13684218813101
SRR8450529	SYNTHETIC	0.727645245648155
SRR8450530	SYNTHETIC	
SRR8450531	SYNTHETIC	4.00162916738782
SRR8450532	SYNTHETIC	
SRR8450538	SYNTHETIC	4.63845129536059
SRR8450539	SYNTHETIC	
SRR8450540	SYNTHETIC	5.11294956762659
SRR8450541	SYNTHETIC	4.55608832263918
SRR8450542	SYNTHETIC	4.6693034054407
SRR8450543	SYNTHETIC	4.06360385389655
SRR8450572	SYNTHETIC	3.92345267491614
SRR8450573	SYNTHETIC	4.8381186413226
SRR8450574	SYNTHETIC	5.29707932754066
SRR8450575	SYNTHETIC	4.68869097121216
SRR8450576	SYNTHETIC	
SRR8450577	SYNTHETIC	5.01733159150098
SRR8450578	SYNTHETIC	0.391021986342615
SRR2065167	SYNTHETIC	2.77694903991567
SRR2046292	SYNTHETIC	5.3698169216079
SRR2046299	SYNTHETIC	2.94249579471242
SRR2046304	SYNTHETIC	3.79379142983783
SRR2046339	SYNTHETIC	4.36025312039792
SRR2046406	SYNTHETIC	1
SRR6067579	FOODWASTE	3.88830793577554
SRR6067580	FOODWASTE	4.12925794918196
SRR6067581	FOODWASTE	4.11009734970542
SRR6067582	FOODWASTE	4.43391378784525
SRR6067583	FOODWASTE	4.63717720543134
SRR6067584	FOODWASTE	4.3004593777376
SRR6067585	FOODWASTE	4.36589505509504
